ID,Age_Mo,Age_Yr
1020,45,3
1021,45,3
1022,44,3
1024,43,3
1025,43,3
1027,41,3
1028,41,3
1032,47,3
1041,43,3
1042,43,3
1043,42,3
1044,40,3
6008,46,3
6010,46,3
6011,47,3
6014,45,3
6017,45,3
7000,38,3
7001,41,3
7002,44,3
7006,42,3
7008,43,3
7010,43,3
7015,44,3
7016,43,3
1030,51,4
1031,51,4
1040,49,4
2111,59,4
2114,57,4
2115,56,4
2122,55,4
2123,55,4
2124,54,4
2125,52,4
2127,56,4
4007,58,4
4009,54,4
5005,55,4
5008,57,4
5012,55,4
5014,56,4
6000,53,4
6003,50,4
6004,48,4
6006,50,4
6016,48,4
2110,60,5 & 6
2117,63,5 & 6
2119,61,5 & 6
3234,65,5 & 6
4004,63,5 & 6
4006,64,5 & 6
4010,63,5 & 6
4012,61,5 & 6
4016,65,5 & 6
5002,61,5 & 6
5006,61,5 & 6
5009,61,5 & 6
5015,65,5 & 6
5016,63,5 & 6
8002,65,5 & 6
8007,71,5 & 6
8000,75,5 & 6
8001,76,5 & 6
8003,76,5 & 6
8004,72,5 & 6
8005,81,5 & 6
8008,77,5 & 6
8009,82,5 & 6
