ID,Gender,Race_Ethnicity,Multilingual
1040,F,Asian,1
5014,F,Asian,1
6004,F,Asian,1
6008,F,Asian,1
8003,F,Asian,1
4007,F,Biracial,0
7000,F,Biracial,0
8005,F,Biracial,0
1031,M,Biracial,0
4009,M,Biracial,0
6006,M,Biracial,0
7016,M,Biracial,0
2122,F,Biracial,1
5002,F,Biracial,1
2123,M,Biracial,1
1027,M,Hispanic,1
2111,NA,NA,NA
4004,NA,NA,NA
5012,NA,NA,NA
6014,NA,NA,NA
8008,NA,NA,NA
8009,NA,NA,NA
1020,F,White,0
1021,F,White,0
1022,F,White,0
1024,F,White,0
1032,F,White,0
1041,F,White,0
2117,F,White,0
2119,F,White,0
2127,F,White,0
4006,F,White,0
4012,F,White,0
5005,F,White,0
5006,F,White,0
5008,F,White,0
5009,F,White,0
6003,F,White,0
7002,F,White,0
7015,F,White,0
8000,F,White,0
8002,F,White,0
8004,F,White,0
1025,M,White,0
1028,M,White,0
1030,M,White,0
1042,M,White,0
1043,M,White,0
1044,M,White,0
2110,M,White,0
2114,M,White,0
3234,M,White,0
4010,M,White,0
5015,M,White,0
5016,M,White,0
6000,M,White,0
6010,M,White,0
6011,M,White,0
6016,M,White,0
6017,M,White,0
7001,M,White,0
7006,M,White,0
7008,M,White,0
7010,M,White,0
8001,M,White,0
8007,M,White,0
2124,F,White,1
2115,M,White,1
2125,M,White,1
4016,M,White,1
