StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Baby- Hallway,Teacher- Hallway,Peer,Foreign- Hallway,Baby- Classroom,Teacher- Classroom,Peer- Classroom,Foreign- Classroom,Baby- Playground,Teacher- Playground,Peer- Playground,Foreign- Playground
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Type ID number,Baby- Hallway,Teacher- Hallway,Peer,Foreign- Hallway,Baby- Classroom,Teacher- Classroom,Peer- Classroom,Foreign- Classroom,Baby- Playground,Teacher- Playground,Peer- Playground,Foreign- Playground
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17""}","{""ImportId"":""QID21""}","{""ImportId"":""QID31""}","{""ImportId"":""QID37""}","{""ImportId"":""QID43""}","{""ImportId"":""QID28""}","{""ImportId"":""QID34""}","{""ImportId"":""QID40""}","{""ImportId"":""QID46""}"
2024-12-06 09:23:39,2024-12-06 09:40:02,0,192.42.89.2,100,982,1,2024-12-06 09:40:04,R_1q8HOiJr3BqAccg,,,,,42.2958,-71.3018,anonymous,EN,2123,1,0,1,0,1,0,1,1,1,1,1,1
2024-12-06 10:08:34,2024-12-06 10:30:36,0,192.42.89.2,100,1321,1,2024-12-06 10:30:37,R_5tbRmdw57fnlJ9K,,,,,42.2958,-71.3018,anonymous,EN,2127,1,0,0,1,1,0,1,1,1,1,1,1
2024-12-06 10:33:08,2024-12-06 10:47:43,0,192.42.89.2,100,874,1,2024-12-06 10:47:43,R_7YyX1HRS37BKqWR,,,,,42.2958,-71.3018,anonymous,EN,2115,1,1,1,1,1,1,1,0,1,1,0,0
2024-12-09 08:50:16,2024-12-09 09:05:38,0,192.42.89.2,100,921,1,2024-12-09 09:05:38,R_6Bgj7MGSAJAjY1H,,,,,42.2958,-71.3018,anonymous,EN,2114,1,1,1,0,1,0,1,0,1,0,0,1
2024-12-09 09:05:43,2024-12-09 09:43:13,0,192.42.89.2,100,2249,1,2024-12-09 09:43:13,R_3It1rbWwN7UqhLL,,,,,42.2958,-71.3018,anonymous,EN,2125,1,1,0,1,1,0,1,1,1,1,1,1
2024-12-09 09:57:34,2024-12-09 10:05:39,0,192.42.89.2,100,485,1,2024-12-09 10:05:39,R_77kw6NLoLENp2Y3,,,,,42.2958,-71.3018,anonymous,EN,2117,1,1,0,0,1,0,1,1,1,1,0,0
2024-12-09 10:21:28,2024-12-09 10:29:44,0,192.42.89.2,100,496,1,2024-12-09 10:29:45,R_107EP0jaKZEp0gH,,,,,42.2958,-71.3018,anonymous,EN,2124,1,1,0,0,1,1,1,0,1,1,1,0
2024-12-10 08:30:45,2024-12-10 08:48:46,0,192.42.89.2,100,1080,1,2024-12-10 08:48:46,R_1HYoF769PiXqsOB,,,,,42.2958,-71.3018,anonymous,EN,3234,1,1,0,1,1,0,1,1,1,0,1,1
2024-12-10 08:48:53,2024-12-10 09:09:00,0,192.42.89.2,100,1206,1,2024-12-10 09:09:00,R_7w1CJYvBmbohD1g,,,,,42.2958,-71.3018,anonymous,EN,2110,1,0,0,1,0,0,1,0,1,1,1,0
2024-12-10 09:09:06,2024-12-10 09:28:24,0,192.42.89.2,100,1158,1,2024-12-10 09:28:25,R_6plOzOJPAGHMB76,,,,,42.2958,-71.3018,anonymous,EN,2111,1,1,1,1,1,0,1,1,1,0,1,0
2024-12-10 09:28:31,2024-12-10 09:50:44,0,192.42.89.2,100,1333,1,2024-12-10 09:50:45,R_3DpPT21yQFu0I69,,,,,42.2958,-71.3018,anonymous,EN,2119,1,0,0,0,1,0,1,0,1,0,0,0
2024-12-11 06:39:27,2024-12-11 07:09:53,0,192.42.89.2,100,1825,1,2024-12-11 07:09:53,R_35hFpM22BKefvOh,,,,,42.2958,-71.3018,anonymous,EN,2122,1,1,1,1,1,0,1,0,1,1,1,1
2024-12-12 06:14:13,2024-12-12 06:41:54,0,192.42.89.2,100,1660,1,2024-12-12 06:41:56,R_1LiiSry7UE8znOG,,,,,42.2958,-71.3018,anonymous,EN,1031,1,1,1,0,1,0,1,0,1,1,1,0
2024-12-12 08:02:14,2024-12-12 09:06:40,0,192.42.89.2,100,3865,1,2024-12-12 09:06:41,R_7Uga0ZxazRJU6RO,,,,,42.2958,-71.3018,anonymous,EN,1040,1,1,1,1,1,1,1,0,0,1,0,0
2024-12-12 09:06:46,2024-12-12 09:27:48,0,192.42.89.2,100,1261,1,2024-12-12 09:27:48,R_7M7251QzbH9qKSB,,,,,42.2958,-71.3018,anonymous,EN,1043,1,1,0,0,1,0,1,0,1,0,1,1
2024-12-12 09:27:57,2024-12-12 09:55:32,0,192.42.89.2,100,1654,1,2024-12-12 09:55:33,R_5uq5X1w8WjeIkPn,,,,,42.2958,-71.3018,anonymous,EN,1027,1,1,1,0,1,1,1,1,1,1,0,1
2024-12-12 09:55:39,2024-12-12 10:14:07,0,192.42.89.2,100,1107,1,2024-12-12 10:14:08,R_1zqBWsDJ7gPzfba,,,,,42.2958,-71.3018,anonymous,EN,1032,1,1,0,1,1,0,1,1,1,1,1,1
